outcode,pct_private_rented,pct_students,pct_employed
IP23,12.4,15.2,51.9
IP24,16.2,13.8,54.9
IP25,12.9,13.5,50.5
IP26,22.7,17.6,56.1
IP27,39.3,19.7,63.4
IP28,26.4,17.0,59.5
IP29,14.4,16.0,58.3
IP3,36.3,20.5,62.6
IP30,8.2,14.8,55.2
IP31,13.2,16.6,61.1
IP32,14.0,16.5,56.2
IP33,19.1,13.4,52.3
IP4,10.0,16.3,56.9
IP5,13.7,18.0,56.9
IP6,22.8,18.2,68.5
IP7,17.0,18.0,55.2
IP8,15.8,16.3,63.9
IP9,14.4,18.9,54.3
KT1,23.7,20.9,62.7
KT10,17.9,21.2,57.3
KT11,13.5,22.9,56.2
KT12,13.1,20.4,61.8
KT13,27.1,20.2,67.2
KT14,14.1,18.7,65.2
KT15,10.6,18.2,62.2
KT16,13.7,17.7,58.6
